p,beta,gamma,max_faults,ratio_fail,path_t0_fail,path_t1_fail,path_t2_fail,path_t3_fail,total_vars,total_clauses,elapsed_sec
1e-05,1,1,2,7.0633946e-07,1.0147507e-07,1.5647017e-07,2.0891023e-07,2.3948399e-07,5991,229486,224.773
2e-05,1,1,2,2.8208245e-06,4.0548631e-07,6.2504247e-07,8.3425478e-07,9.5604098e-07,5991,229486,244.787
5e-05,1,1,2,1.7545437e-05,2.5265432e-06,3.8908408e-06,5.1881881e-06,5.939865e-06,5991,229486,218.101
0.0001,1,1,2,6.9620724e-05,1.005474e-05,1.545942e-05,2.0581193e-05,2.3525371e-05,5991,229486,235.187
