p,beta,gamma,max_faults,ratio_fail,path_t0_fail,path_t1_fail,path_t2_fail,path_t3_fail,total_vars,total_clauses,elapsed_sec
1e-05,1,1,2,6.9122125e-07,1.0381402e-07,1.4408278e-07,2.053233e-07,2.3800115e-07,4276,12201,81.440
5e-05,1,1,2,1.7169786e-05,2.5847786e-06,3.5828118e-06,5.0991085e-06,5.9030866e-06,4265,12123,68.708
0.0001,1,1,2,6.8129557e-05,1.0286496e-05,1.4235533e-05,2.0227821e-05,2.3379707e-05,4266,12127,41.285
