p,beta,gamma,max_faults,ratio_fail,path_t0_fail,path_t1_fail,path_t2_fail,path_t3_fail,total_vars,total_clauses,elapsed_sec
1e-05,1,1,3,6.916826e-07,1.0387151e-07,1.4417695e-07,2.0546289e-07,2.3817125e-07,4888,13334,1453.704
5e-05,1,1,3,1.7227081e-05,2.5919364e-06,3.5945207e-06,5.1164419e-06,5.9241821e-06,4892,13425,369.849
0.0001,1,1,3,6.8584218e-05,1.0343469e-05,1.4328584e-05,2.0365349e-05,2.3546816e-05,4890,13393,417.246
