p,beta,gamma,max_faults,ratio_fail,path_t0_fail,path_t1_fail,path_t2_fail,path_t3_fail,total_vars,total_clauses,elapsed_sec
1e-05,1,1,2,6.7195114e-07,9.460653e-08,1.4304062e-07,1.9939759e-07,2.349064e-07,4237,12394,161.210
2e-05,1,1,2,2.6834706e-06,3.7804018e-07,5.7139623e-07,7.9626735e-07,9.3776683e-07,4237,12394,156.346
5e-05,1,1,2,1.6690701e-05,2.3555295e-06,3.5568971e-06,4.9519462e-06,5.8263282e-06,4237,12394,162.039
0.0001,1,1,2,6.622647e-05,9.3741675e-06,1.4132567e-05,1.9644038e-05,2.3075698e-05,4237,12394,160.043
