p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,ratio_over_p,total_runs,elapsed_sec
0.0001,1,1,800,31051,949,0.02965625,296.5625,32000,51.105
1e-05,1,1,800,299995,805,0.0026761968,267.61968,300800,444.482
1e-06,1,1,800,3007199,801,0.00026628989,266.28989,3008000,4465.926
