p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,ratio_over_p,total_runs,elapsed_sec
0.0001,1,1,800,31063,937,0.02928125,292.8125,32000,183.627
1e-05,1,1,800,319195,805,0.002515625,251.5625,320000,1720.202
1e-06,1,1,800,3192800,800,0.000250501,250.501,3193600,17167.603
