[MC913] start p=0.999 (32 workers)
[MC913] p=0.997 fail=2197/800 pass=3 total=2200 ratio=0.998636
[MC913] p=0.997 fail=2296/800 pass=4 total=2300 ratio=0.998261
[MC913] p=0.997 fail=2396/800 pass=4 total=2400 ratio=0.998333
[MC913] p=0.997 fail=2495/800 pass=5 total=2500 ratio=0.998
[MC913] p=0.997 fail=2595/800 pass=5 total=2600 ratio=0.998077
[MC913] p=0.997 fail=2695/800 pass=5 total=2700 ratio=0.998148
[MC913] p=0.997 fail=2795/800 pass=5 total=2800 ratio=0.998214
[MC913] p=0.997 fail=2895/800 pass=5 total=2900 ratio=0.998276
[MC913] p=0.997 fail=2995/800 pass=5 total=3000 ratio=0.998333
[MC913] p=0.997 fail=3095/800 pass=5 total=3100 ratio=0.998387
[MC913] p=0.997 fail=3195/800 pass=5 total=3200 ratio=0.998437
[MC913] done p=0.997 ratio_fail=0.9984375 ratio/p=1.00144 total=3200 elapsed=13.0s
[MC913] start p=0.996 (32 workers)
[MC913] p=0.996 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.996 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.996 fail=399/800 pass=1 total=400 ratio=0.9975
[MC913] p=0.996 fail=499/800 pass=1 total=500 ratio=0.998
[MC913] p=0.996 fail=599/800 pass=1 total=600 ratio=0.998333
[MC913] p=0.996 fail=699/800 pass=1 total=700 ratio=0.998571
[MC913] p=0.996 fail=799/800 pass=1 total=800 ratio=0.99875
[MC913] p=0.996 fail=899/800 pass=1 total=900 ratio=0.998889
[MC913] p=0.996 fail=999/800 pass=1 total=1000 ratio=0.999
[MC913] p=0.996 fail=1099/800 pass=1 total=1100 ratio=0.999091
[MC913] p=0.996 fail=1199/800 pass=1 total=1200 ratio=0.999167
[MC913] p=0.996 fail=1299/800 pass=1 total=1300 ratio=0.999231
[MC913] p=0.996 fail=1399/800 pass=1 total=1400 ratio=0.999286
[MC913] p=0.996 fail=1499/800 pass=1 total=1500 ratio=0.999333
[MC913] p=0.996 fail=1599/800 pass=1 total=1600 ratio=0.999375
[MC913] p=0.996 fail=1699/800 pass=1 total=1700 ratio=0.999412
[MC913] p=0.996 fail=1799/800 pass=1 total=1800 ratio=0.999444
