[MC913] start p=0.99 (32 workers)
[MC913] p=0.99 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.99 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.99 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.99 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.99 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.99 fail=600/800 pass=0 total=600 ratio=1
[MC913] p=0.99 fail=700/800 pass=0 total=700 ratio=1
[MC913] p=0.99 fail=800/800 pass=0 total=800 ratio=1
[MC913] p=0.99 fail=900/800 pass=0 total=900 ratio=1
[MC913] p=0.99 fail=1000/800 pass=0 total=1000 ratio=1
[MC913] p=0.99 fail=1100/800 pass=0 total=1100 ratio=1
[MC913] p=0.99 fail=1200/800 pass=0 total=1200 ratio=1
[MC913] p=0.99 fail=1300/800 pass=0 total=1300 ratio=1
[MC913] p=0.99 fail=1400/800 pass=0 total=1400 ratio=1
[MC913] p=0.99 fail=1599/800 pass=1 total=1600 ratio=0.999375
[MC913] p=0.99 fail=1699/800 pass=1 total=1700 ratio=0.999412
[MC913] p=0.99 fail=1799/800 pass=1 total=1800 ratio=0.999444
[MC913] p=0.99 fail=1899/800 pass=1 total=1900 ratio=0.999474
[MC913] p=0.99 fail=1999/800 pass=1 total=2000 ratio=0.9995
[MC913] p=0.99 fail=2099/800 pass=1 total=2100 ratio=0.999524
[MC913] p=0.99 fail=2199/800 pass=1 total=2200 ratio=0.999545
[MC913] p=0.99 fail=2299/800 pass=1 total=2300 ratio=0.999565
[MC913] p=0.99 fail=2399/800 pass=1 total=2400 ratio=0.999583
[MC913] p=0.99 fail=2499/800 pass=1 total=2500 ratio=0.9996
[MC913] p=0.99 fail=2598/800 pass=2 total=2600 ratio=0.999231
[MC913] p=0.99 fail=2697/800 pass=3 total=2700 ratio=0.998889
[MC913] p=0.99 fail=2797/800 pass=3 total=2800 ratio=0.998929
[MC913] p=0.99 fail=2897/800 pass=3 total=2900 ratio=0.998966
[MC913] p=0.99 fail=2997/800 pass=3 total=3000 ratio=0.999
[MC913] p=0.99 fail=3097/800 pass=3 total=3100 ratio=0.999032
[MC913] p=0.99 fail=3197/800 pass=3 total=3200 ratio=0.999062
[MC913] done p=0.99 ratio_fail=0.9990625 ratio/p=1.00915 total=3200 elapsed=12.9s
[MC913] start p=0.97 (32 workers)
[MC913] p=0.97 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.97 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.97 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.97 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.97 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.97 fail=600/800 pass=0 total=600 ratio=1
[MC913] p=0.97 fail=700/800 pass=0 total=700 ratio=1
[MC913] p=0.97 fail=800/800 pass=0 total=800 ratio=1
[MC913] p=0.97 fail=900/800 pass=0 total=900 ratio=1
[MC913] p=0.97 fail=1000/800 pass=0 total=1000 ratio=1
[MC913] p=0.97 fail=1100/800 pass=0 total=1100 ratio=1
[MC913] p=0.97 fail=1200/800 pass=0 total=1200 ratio=1
[MC913] p=0.97 fail=1300/800 pass=0 total=1300 ratio=1
[MC913] p=0.97 fail=1400/800 pass=0 total=1400 ratio=1
[MC913] p=0.97 fail=1500/800 pass=0 total=1500 ratio=1
[MC913] p=0.97 fail=1600/800 pass=0 total=1600 ratio=1
[MC913] p=0.97 fail=1700/800 pass=0 total=1700 ratio=1
[MC913] p=0.97 fail=1800/800 pass=0 total=1800 ratio=1
[MC913] p=0.97 fail=1900/800 pass=0 total=1900 ratio=1
[MC913] p=0.97 fail=2000/800 pass=0 total=2000 ratio=1
[MC913] p=0.97 fail=2100/800 pass=0 total=2100 ratio=1
[MC913] p=0.97 fail=2200/800 pass=0 total=2200 ratio=1
[MC913] p=0.97 fail=2300/800 pass=0 total=2300 ratio=1
[MC913] p=0.97 fail=2499/800 pass=1 total=2500 ratio=0.9996
[MC913] p=0.97 fail=2599/800 pass=1 total=2600 ratio=0.999615
[MC913] p=0.97 fail=2699/800 pass=1 total=2700 ratio=0.99963
[MC913] p=0.97 fail=2799/800 pass=1 total=2800 ratio=0.999643
[MC913] p=0.97 fail=2899/800 pass=1 total=2900 ratio=0.999655
[MC913] p=0.97 fail=2999/800 pass=1 total=3000 ratio=0.999667
[MC913] p=0.97 fail=3099/800 pass=1 total=3100 ratio=0.999677
[MC913] p=0.97 fail=3199/800 pass=1 total=3200 ratio=0.999687
[MC913] done p=0.97 ratio_fail=0.9996875 ratio/p=1.03061 total=3200 elapsed=13.0s
[MC913] start p=0.95 (32 workers)
[MC913] p=0.95 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.95 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.95 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.95 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.95 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.95 fail=600/800 pass=0 total=600 ratio=1
[MC913] p=0.95 fail=700/800 pass=0 total=700 ratio=1
[MC913] p=0.95 fail=800/800 pass=0 total=800 ratio=1
[MC913] p=0.95 fail=900/800 pass=0 total=900 ratio=1
[MC913] p=0.95 fail=1000/800 pass=0 total=1000 ratio=1
[MC913] p=0.95 fail=1100/800 pass=0 total=1100 ratio=1
[MC913] p=0.95 fail=1200/800 pass=0 total=1200 ratio=1
[MC913] p=0.95 fail=1300/800 pass=0 total=1300 ratio=1
[MC913] p=0.95 fail=1400/800 pass=0 total=1400 ratio=1
[MC913] p=0.95 fail=1500/800 pass=0 total=1500 ratio=1
[MC913] p=0.95 fail=1698/800 pass=2 total=1700 ratio=0.998824
[MC913] p=0.95 fail=1798/800 pass=2 total=1800 ratio=0.998889
[MC913] p=0.95 fail=1897/800 pass=3 total=1900 ratio=0.998421
[MC913] p=0.95 fail=1997/800 pass=3 total=2000 ratio=0.9985
[MC913] p=0.95 fail=2097/800 pass=3 total=2100 ratio=0.998571
[MC913] p=0.95 fail=2197/800 pass=3 total=2200 ratio=0.998636
[MC913] p=0.95 fail=2297/800 pass=3 total=2300 ratio=0.998696
[MC913] p=0.95 fail=2397/800 pass=3 total=2400 ratio=0.99875
[MC913] p=0.95 fail=2497/800 pass=3 total=2500 ratio=0.9988
[MC913] p=0.95 fail=2597/800 pass=3 total=2600 ratio=0.998846
[MC913] p=0.95 fail=2697/800 pass=3 total=2700 ratio=0.998889
[MC913] p=0.95 fail=2797/800 pass=3 total=2800 ratio=0.998929
[MC913] p=0.95 fail=2897/800 pass=3 total=2900 ratio=0.998966
[MC913] p=0.95 fail=2997/800 pass=3 total=3000 ratio=0.999
[MC913] p=0.95 fail=3097/800 pass=3 total=3100 ratio=0.999032
[MC913] p=0.95 fail=3197/800 pass=3 total=3200 ratio=0.999062
[MC913] done p=0.95 ratio_fail=0.9990625 ratio/p=1.05164 total=3200 elapsed=13.2s
[MC913] start p=0.92 (32 workers)
[MC913] p=0.92 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.92 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.92 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.92 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.92 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.92 fail=600/800 pass=0 total=600 ratio=1
[MC913] p=0.92 fail=700/800 pass=0 total=700 ratio=1
[MC913] p=0.92 fail=800/800 pass=0 total=800 ratio=1
[MC913] p=0.92 fail=999/800 pass=1 total=1000 ratio=0.999
[MC913] p=0.92 fail=1099/800 pass=1 total=1100 ratio=0.999091
[MC913] p=0.92 fail=1199/800 pass=1 total=1200 ratio=0.999167
[MC913] p=0.92 fail=1299/800 pass=1 total=1300 ratio=0.999231
[MC913] p=0.92 fail=1399/800 pass=1 total=1400 ratio=0.999286
