Monte Carlo table for [[5,1,3]] two-qubit simulator
Target fails per point: 1600
beta=1.0, gamma=1.0
ratio_fail = decoder_fail / total_runs  (all protocol runs, incl. no LUT)

p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,no_lut_runs,total_runs,elapsed_sec
0.0001,1,1,1600,222569,1601,6.9180379e-05,22918230,23142400,819.517
0.0002,1,1,1600,113240,1600,0.00026709402,5875560,5990400,237.625
0.0003,1,1,1600,73540,1614,0.00061810662,2536046,2611200,110.170
0.0004,1,1,1600,56798,1628,0.0010598958,1477574,1536000,68.918
0.0005,1,1,1600,43209,1621,0.0017113598,902370,947200,43.449
0.0006,1,1,1600,37301,1618,0.0023408565,652281,691200,34.328
0.0007,1,1,1600,31516,1645,0.0032128906,478839,512000,25.359
0.0008,1,1,1600,26816,1609,0.0041901042,355575,384000,18.929
0.0009,1,1,1600,23918,1625,0.0052897135,281657,307200,17.078
0.001,1,1,1600,21866,1683,0.0065742188,232451,256000,13.557
