p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,no_lut_runs,total_runs,elapsed_sec
0.001,1,1,1600,22046,1634,0.0063828125,232320,256000,16.236
0.002,1,1,1600,11619,1795,0.023372396,63386,76800,7.375
0.003,1,1,1600,10157,2556,0.049921875,38487,51200,6.069
0.004,1,1,1600,6015,2017,0.078789063,17568,25600,4.174
0.005,1,1,1600,6695,2931,0.11449219,15974,25600,4.258
0.006,1,1,1600,7283,3833,0.14972656,14484,25600,4.791
0.007,1,1,1600,7569,4765,0.18613281,13266,25600,4.709
0.008,1,1,1600,7563,5840,0.228125,12197,25600,5.036
0.009,1,1,1600,7767,6692,0.26140625,11141,25600,4.360
0.01,1,1,1600,7606,7648,0.29875,10346,25600,5.174
