Monte Carlo table for [[5,1,3]] two-qubit simulator
Target fails per point: 1600
beta=1.0, gamma=1.0
ratio_fail = decoder_fail / total_runs  (all protocol runs, incl. no LUT)

p,beta,gamma,target_fails,decoder_pass,decoder_fail,ratio_fail,no_lut_runs,total_runs,elapsed_sec
0.000115,1,1,1600,186682,1602,9.452889e-05,16758916,16947200,785.580
0.00012,1,1,1600,189724,1601,9.7110345e-05,16295075,16486400,718.542
0.000125,1,1,1600,159524,1601,0.00011980663,13202075,13363200,564.381
0.00013,1,1,1600,163263,1600,0.00012159533,12993537,13158400,558.316
0.000135,1,1,1600,160006,1600,0.00012886598,12254394,12416000,529.548
0.00014,1,1,1600,161351,1602,0.00013286226,11894647,12057600,518.667
0.000145,1,1,1600,148664,1601,0.00014925791,10576135,10726400,460.972
0.00015,1,1,1600,147378,1601,0.00015556981,10142221,10291200,440.069
